date,permno,prc,vol,ret,ticker
2007-01-03,86457,23.33,4745100.0,0.003009,XLK
2007-01-03,91182,19.99,27285.0,-0.0005,QTEC
2007-01-04,86457,23.69,2883000.0,0.015431,XLK
2007-01-04,91182,20.378,3991.0,0.01941,QTEC
2007-01-05,86457,23.5,1649100.0,-0.00802,XLK
2007-01-05,91182,20.29,4720.0,-0.004318,QTEC
2007-01-08,86457,23.57,1779300.0,0.002979,XLK
2007-01-08,91182,20.37,11200.0,0.003943,QTEC
2007-01-09,91182,20.45,50246.0,0.003927,QTEC
2007-01-09,86457,23.6,3469000.0,0.001273,XLK
2007-01-10,91182,20.7,22411.0,0.012225,QTEC
2007-01-10,86457,23.72,2659300.0,0.005085,XLK
2007-01-11,86457,23.96,3620200.0,0.010118,XLK
2007-01-11,91182,20.82,73864.0,0.005797,QTEC
2007-01-12,86457,24.02,3149500.0,0.002504,XLK
2007-01-12,91182,20.91,42598.0,0.004323,QTEC
2007-01-16,86457,23.97,1556800.0,-0.002082,XLK
2007-01-16,91182,20.746,15843.0,-0.007843,QTEC
2007-01-17,86457,23.66,1513000.0,-0.012933,XLK
2007-01-17,91182,20.58,7669.0,-0.008002,QTEC
2007-01-18,86457,23.39,4830400.0,-0.011412,XLK
2007-01-18,91182,19.94,46494.0,-0.031098,QTEC
2007-01-19,91182,20.01,13296.0,0.003511,QTEC
2007-01-19,86457,23.38,2370700.0,-0.000428,XLK
2007-01-22,91182,19.776,33377.0,-0.011694,QTEC
2007-01-22,86457,23.21,3399900.0,-0.007271,XLK
2007-01-23,86457,23.21,1470800.0,0.0,XLK
2007-01-23,91182,19.78,13170.0,0.000202,QTEC
2007-01-24,91182,20.2299,12136.0,0.022745,QTEC
2007-01-24,86457,23.63,4381500.0,0.018096,XLK
2007-01-25,86457,23.34,1451400.0,-0.012273,XLK
2007-01-25,91182,19.98,7900.0,-0.012353,QTEC
2007-01-26,86457,23.35,4290300.0,0.000428,XLK
2007-01-26,91182,20.03,7641.0,0.002503,QTEC
2007-01-29,91182,19.956,7110.0,-0.003695,QTEC
2007-01-29,86457,23.45,2340500.0,0.004283,XLK
2007-01-30,86457,23.59,2498100.0,0.00597,XLK
2007-01-30,91182,20.05,4790.0,0.00471,QTEC
2007-01-31,91182,20.096,9415.0,0.002294,QTEC
2007-01-31,86457,23.73,1723400.0,0.005935,XLK
2007-02-01,86457,23.63,1507200.0,-0.004214,XLK
2007-02-01,91182,20.17,3135.0,0.003682,QTEC
2007-02-02,86457,23.75,1521600.0,0.005078,XLK
2007-02-02,91182,20.244,1351.0,0.003669,QTEC
2007-02-05,91182,20.38,5288.0,0.006718,QTEC
2007-02-05,86457,23.69,1034500.0,-0.002526,XLK
2007-02-06,86457,23.66,1695700.0,-0.001266,XLK
2007-02-06,91182,20.24,6693.0,-0.006869,QTEC
2007-02-07,86457,23.77,1570600.0,0.004649,XLK
2007-02-07,91182,20.54,17177.0,0.014822,QTEC
2007-02-08,91182,20.566,13480.0,0.001266,QTEC
2007-02-08,86457,23.8,1370100.0,0.001262,XLK
2007-02-09,91182,20.25,4301.0,-0.015365,QTEC
2007-02-09,86457,23.54,1887400.0,-0.010924,XLK
2007-02-12,91182,20.1001,4508.0,-0.007402,QTEC
2007-02-12,86457,23.44,2596064.0,-0.004248,XLK
2007-02-13,91182,20.15,23215.0,0.002483,QTEC
2007-02-13,86457,23.54,1531734.0,0.004266,XLK
2007-02-14,86457,23.86,1018215.0,0.013594,XLK
2007-02-14,91182,20.57,2650.0,0.020844,QTEC
2007-02-15,86457,23.95,3063300.0,0.003772,XLK
2007-02-15,91182,20.69,1447.0,0.005834,QTEC
2007-02-16,86457,23.9,2046300.0,-0.002088,XLK
2007-02-16,91182,20.67,4580.0,-0.000967,QTEC
2007-02-20,86457,23.91,1321200.0,0.000418,XLK
2007-02-20,91182,20.77,12507.0,0.004838,QTEC
2007-02-21,86457,23.87,1164700.0,-0.001673,XLK
2007-02-21,91182,20.67,5922.0,-0.004815,QTEC
2007-02-22,86457,24.0,3578600.0,0.005446,XLK
2007-02-22,91182,20.87,1850.0,0.009676,QTEC
2007-02-23,91182,20.886,11726.0,0.000767,QTEC
2007-02-23,86457,23.98,1007900.0,-0.000833,XLK
2007-02-26,91182,20.75,7718.0,-0.006512,QTEC
2007-02-26,86457,23.92,987547.0,-0.002502,XLK
2007-02-27,86457,23.0,4721500.0,-0.038462,XLK
2007-02-27,91182,20.05,43331.0,-0.033735,QTEC
2007-02-28,91182,20.048,18138.0,-0.0001,QTEC
2007-02-28,86457,23.05,3617700.0,0.002174,XLK
2007-03-01,86457,23.07,3683536.0,0.000868,XLK
2007-03-01,91182,19.91,11687.0,-0.006884,QTEC
2007-03-02,91182,19.66,6996.0,-0.012557,QTEC
2007-03-02,86457,22.64,2612900.0,-0.018639,XLK
2007-03-05,86457,22.69,1406800.0,0.002209,XLK
2007-03-05,91182,19.36,2189.0,-0.015259,QTEC
2007-03-06,86457,23.04,2177000.0,0.015425,XLK
2007-03-06,91182,19.714,4082.0,0.018285,QTEC
2007-03-07,91182,19.61,13364.0,-0.005275,QTEC
2007-03-07,86457,22.75,1541900.0,-0.012587,XLK
2007-03-08,86457,22.94,2775000.0,0.008352,XLK
2007-03-08,91182,19.76,9750.0,0.007649,QTEC
2007-03-09,86457,23.0,1132300.0,0.002616,XLK
2007-03-09,91182,19.79,9724.0,0.001518,QTEC
2007-03-12,91182,19.982,130.0,0.009702,QTEC
2007-03-12,86457,23.14,1593400.0,0.006087,XLK
2007-03-13,91182,19.56,2400.0,-0.021119,QTEC
2007-03-13,86457,22.77,1657100.0,-0.01599,XLK
2007-03-14,86457,22.98,2899700.0,0.009223,XLK
2007-03-14,91182,19.68,14452.0,0.006135,QTEC
2007-03-15,91182,19.737,2075.0,0.002896,QTEC
2007-03-15,86457,22.99,2243700.0,0.000435,XLK
2007-03-16,86457,22.95,2905225.0,-0.00174,XLK
2007-03-16,91182,19.7,7062.0,-0.001875,QTEC
2007-03-19,91182,19.79,3050.0,0.004569,QTEC
2007-03-19,86457,23.1,870500.0,0.006536,XLK
2007-03-20,91182,19.927,1000.0,0.006923,QTEC
2007-03-20,86457,23.25,1291300.0,0.006493,XLK
2007-03-21,91182,20.47,3633.0,0.027249,QTEC
2007-03-21,86457,23.72,858350.0,0.020215,XLK
2007-03-22,86457,23.63,1724200.0,-0.003794,XLK
2007-03-22,91182,20.35,3675.0,-0.005862,QTEC
2007-03-23,91182,20.29,60037.0,-0.002948,QTEC
2007-03-23,86457,23.57,1370100.0,-0.002539,XLK
2007-03-26,86457,23.6,958600.0,0.001273,XLK
2007-03-26,91182,20.39,13352.0,0.004928,QTEC
2007-03-27,86457,23.61,1764865.0,0.000424,XLK
2007-03-27,91182,20.28,2500.0,-0.005395,QTEC
2007-03-28,86457,23.34,1987300.0,-0.011436,XLK
2007-03-28,91182,19.983,2720.0,-0.014645,QTEC
2007-03-29,91182,19.76,4812.0,-0.01116,QTEC
2007-03-29,86457,23.37,2854000.0,0.001285,XLK
2007-03-30,91182,19.8,12080.0,0.002024,QTEC
2007-03-30,86457,23.32,3817100.0,-0.00214,XLK
2007-04-02,91182,19.86,1919.0,0.00303,QTEC
2007-04-02,86457,23.44,1573300.0,0.005146,XLK
2007-04-03,91182,20.11,4246.0,0.012588,QTEC
2007-04-03,86457,23.63,1990848.0,0.008106,XLK
2007-04-04,86457,23.77,2291000.0,0.005925,XLK
2007-04-04,91182,20.198,4021.0,0.004376,QTEC
2007-04-05,91182,20.303,1793.0,0.005199,QTEC
2007-04-05,86457,23.86,659700.0,0.003786,XLK
2007-04-09,86457,23.86,767735.0,0.0,XLK
2007-04-09,91182,20.31,17523.0,0.000345,QTEC
2007-04-10,86457,23.84,1942124.0,-0.000838,XLK
2007-04-10,91182,20.42,6700.0,0.005416,QTEC
2007-04-11,86457,23.62,2096043.0,-0.009228,XLK
2007-04-11,91182,20.23,3725.0,-0.009305,QTEC
2007-04-12,91182,20.42,16504.0,0.009392,QTEC
2007-04-12,86457,23.87,770777.0,0.010584,XLK
2007-04-13,91182,20.47,34290.0,0.002449,QTEC
2007-04-13,86457,23.89,1113179.0,0.000838,XLK
2007-04-16,86457,24.09,1321636.0,0.008372,XLK
2007-04-16,91182,20.6,10962.0,0.006351,QTEC
2007-04-17,91182,20.66,14078.0,0.002913,QTEC
2007-04-17,86457,24.14,1372838.0,0.002076,XLK
2007-04-18,91182,20.75,5815.0,0.004356,QTEC
2007-04-18,86457,24.08,1066392.0,-0.002485,XLK
2007-04-19,86457,24.09,1779516.0,0.000415,XLK
2007-04-19,91182,20.69,4633.0,-0.002892,QTEC
2007-04-20,91182,20.7628,2909.0,0.003519,QTEC
2007-04-20,86457,24.23,986578.0,0.005812,XLK
2007-04-23,86457,24.18,1606800.0,-0.002064,XLK
2007-04-23,91182,20.72,253050.0,-0.002061,QTEC
2007-04-24,91182,20.94,10866.0,0.010618,QTEC
2007-04-24,86457,24.31,2851905.0,0.005376,XLK
2007-04-25,91182,21.11,2634.0,0.008118,QTEC
2007-04-25,86457,24.49,1713371.0,0.007404,XLK
2007-04-26,86457,24.63,719138.0,0.005717,XLK
2007-04-26,91182,21.14,4039.0,0.001421,QTEC
